unit_number,area_sqft
C-101,371
C-102,386
C-103,790
C-104,565
C-105,514
C-106,507
C-201,382
C-202,382
C-203,752
C-204,540
C-205,507
C-206,507
C-301,407
C-302,407
C-303,734
C-304,521
C-305,490
C-306,502
C-401,407
C-402,371
C-403,752
C-404,568
C-405,507
C-406,502
C-501,371
C-502,382
C-503,752
C-504,568
C-505,502
C-506,507
C-601,407
C-602,407
C-603,752
C-604,568
C-605,502
C-606,502
C-701,382
C-702,382
C-703,752
C-704,540
C-705,507
C-706,502
C-802,407
C-803,752
C-804,568
C-805,502
C-806,507
C-901,407
C-902,371
C-903,761
C-904,568
C-905,507
C-906,507
C-1001,382
C-1002,382
C-1003,752
C-1004,568
C-1005,507
C-1006,502
C-1101,371
C-1102,371
C-1103,761
C-1104,540
C-1105,502
C-1106,502
C-1202,382
C-1203,782
C-1204,568
C-1205,502
C-1206,502
C-1301,371
C-1302,371
C-1303,761
C-1304,540
C-1305,507
C-1306,502
C-1401,371
C-1402,371
C-1403,761
C-1404,521
C-1405,507
C-1406,490
D-101,347
D-102,360
D-103,217
D-104,217
D-105,362
D-106,348
D-201,346
D-202,345
D-203,361
D-204,325
D-205,362
D-206,360
D-301,360
D-302,360
D-303,361
D-304,360
D-305,362
D-306,348
D-401,346
D-402,362
D-403,361
D-404,360
D-405,362
D-406,360
D-501,360
D-502,362
D-503,361
D-504,360
D-505,362
D-506,348
D-601,360
D-602,360
D-603,360
D-604,360
D-605,363
D-606,360
D-701,360
D-702,362
D-703,361
D-704,360
D-705,360
D-706,361
D-801,360
D-802,362
D-803,361
D-804,349
D-805,362
D-901,360
D-902,360
D-903,349
D-904,360
D-905,362
D-906,360
D-1001,360
D-1002,362
D-1003,361
D-1004,349
D-1005,362
D-1006,360
D-1101,360
D-1102,362
D-1103,361
D-1104,360
D-1105,360
D-1106,360
D-1201,360
D-1202,362
D-1203,360
D-1204,349
D-1205,362
D-1301,360
D-1302,360
D-1303,361
D-1304,349
D-1305,360
D-1306,361
D-1401,360
D-1402,360
D-1403,361
D-1404,349
D-1405,360
D-1406,361
S-0024,209
S-0025,196
S-0026,341
S-0027,214
S-0028,155
S-0029,178
S-0030,276
S-0031,257
S-0032,175
S-0033,136
S-0034,136
S-0035,190
S-0036,145
S-0037,182
